STT,Mã Tỉnh/TP,Tên Tỉnh/TP,Mã Quận/Huyện,Tên Quận/Huyện,Mã Trường,Tên Trường,Địa Chỉ,Khu Vực,Trường DTNT
1529,12,Thái Nguyên,08,Huyện Phú Bình,008,TT GDTX Huyện Phú Bình,"Xã Xuân Phương, H. Phú Bình",KV2-NT,
1530,12,Thái Nguyên,08,Huyện Phú Bình,028,THPT Phú Bình,"Thị Trấn Hương Sơn, H. Phú Bình",KV2-NT,
1531,12,Thái Nguyên,08,Huyện Phú Bình,036,THPT Lương Phú,"Xã Lương Phú, H. Phú Bình",KV2-NT,
1532,12,Thái Nguyên,08,Huyện Phú Bình,058,THPT Điềm Thuỵ,"Xã Điềm Thuỵ, H. Phú Bình, Thái Nguyên",KV2-NT,
1533,12,Thái Nguyên,08,Huyện Phú Bình,074,TT GDNN-GDTX Huyện Phú Bình,"Xã Xuân Phương, H. Phú Bình",KV2-NT,
1534,12,Thái Nguyên,09,Thị xã Phổ Yên,009,TTGDTX Thị xã Phổ Yên (Trước 2015),"Xã Nam Tiến, Thị xã Phổ Yên",KV2-NT,
1535,12,Thái Nguyên,09,Thị xã Phổ Yên,029,THPT Lê Hồng Phong (Trước 2016),"P. Ba Hàng, TX. Phổ Yên",KV2-NT,
1536,12,Thái Nguyên,09,Thị xã Phổ Yên,030,THPT Bắc Sơn (Trước 2016),"P. Bắc Sơn, TX. Phổ Yên",KV1,
1537,12,Thái Nguyên,09,Thị xã Phổ Yên,037,THPT Phổ Yên (Trước 2016),"Xã Tân Hương, TX. Phổ Yên",KV2-NT,
1538,12,Thái Nguyên,09,Thị xã Phổ Yên,046,CĐ Công nghệ và Kinh tế Công nghiệp (Trước 2016),Xã Trung Thành TX. Phổ Yên,KV2-NT,
1539,12,Thái Nguyên,09,Thị xã Phổ Yên,061,TC Nghề Nam Thái Nguyên (Trước 2016),"Xã Đồng Tiến, TX. Phổ Yên",KV2-NT,
1540,12,Thái Nguyên,09,Thị xã Phổ Yên,063,Trường TC nghề KT 3D,"Xã Đông Cao, TX. Phổ Yên, Thái Nguyên",KV2-NT,
1541,12,Thái Nguyên,09,Thị xã Phổ Yên,067,TT GDTX Thị xã Phổ Yên (2015),"Xã Nam Tiến, Thị xã Phổ Yên",KV2,
1542,12,Thái Nguyên,09,Thị xã Phổ Yên,068,THPT Lê Hồng Phong (Từ 2016),"P. Ba Hàng, TX. Phổ Yên",KV2,
1543,12,Thái Nguyên,09,Thị xã Phổ Yên,069,THPT Bắc Sơn (Từ 2016),"P. Bắc Sơn, TX. Phổ Yên",KV1,
1544,12,Thái Nguyên,09,Thị xã Phổ Yên,070,THPT Phổ Yên (Từ 2016),"Xã Tân Hương, TX. Phổ Yên",KV2,
1545,12,Thái Nguyên,09,Thị xã Phổ Yên,071,CĐ Công nghệ và Kinh tế Công nghiệp (Từ 2016),Xã Trung Thành TX. Phổ Yên,KV2,
1546,12,Thái Nguyên,09,Thị xã Phổ Yên,072,TC Nghề Nam Thái Nguyên,"Phường Đồng Tiến, TX. Phổ Yên",KV2,
1547,12,Thái Nguyên,09,Thị xã Phổ Yên,073,THPT Lý Nam Đế,"Xã Nam Tiến, TX. Phổ Yên",KV2,
1548,12,Thái Nguyên,09,Thị xã Phổ Yên,090,TT GDNN-GDTX TX Phổ Yên (từ 2016),"Phường Đồng Tiến, TX. Phổ Yên",KV2,
1549,12,Thái Nguyên,09,Thị xã Phổ Yên,091,TC Dân tộc nội trú tỉnh Thái Nguyên,"Xã Hồng Tiến, TX Phổ Yên",KV2,
1550,12,Thái Nguyên,10,Thành phố Phổ Yên,103,THPT Lê Hồng Phong (Từ 10/04/2022),"Phường Ba Hàng, Thành phố Phổ Yên",KV2,
1551,12,Thái Nguyên,10,Thành phố Phổ Yên,104,THPT Phổ Yên (Từ 10/04/2022),"Phường Tân Hương, Thành phố Phổ Yên",KV2,
1552,12,Thái Nguyên,10,Thành phố Phổ Yên,105,TT GDNN-GDTX TP Phổ Yên (Từ 10/04/2022),"Phường Đồng Tiến, TP. Phổ Yên",KV2,
1553,12,Thái Nguyên,10,Thành phố Phổ Yên,106,TC Dân tộc nội trú tỉnh Thái Nguyên (Từ 10/04/2022),"Phường Hồng Tiến, TP. Phổ Yên",KV2,
1554,12,Thái Nguyên,10,Thành phố Phổ Yên,107,THPT Bắc Sơn (Từ 10/04/2022),"Phường Bắc Sơn, TP. Phổ Yên",KV1,
1555,12,Thái Nguyên,10,Thành phố Phổ Yên,108,THPT Lý Nam Đế (Từ 10/4/2022),"Phường Nam Tiến, TP. Phổ Yên",KV2,
1556,12,Thái Nguyên,10,Thành phố Phổ Yên,119,THPT Võ Nguyên Giáp,"Phường Đắc Sơn, Tp Phổ Yên, T.Thái Nguyên",KV2,
1557,12,Thái Nguyên,11,Huyện Đại Từ (04/6/2021),109,THPT Đại Từ (Từ 04/6/2021),"Thị trấn Hùng Sơn, H. Đại Từ",KV2-NT,
1558,12,Thái Nguyên,11,Huyện Đại Từ (04/6/2021),110,THPT Nguyễn Huệ (Từ 04/6/2021),"Xã Phú Thịnh, H. Đại Từ",KV1,
1559,12,Thái Nguyên,11,Huyện Đại Từ (04/6/2021),111,THPT Lưu Nhân Chú (Từ 04/6/2021),"Xã Ký Phú, H. Đại Từ",KV2-NT,
1560,12,Thái Nguyên,11,Huyện Đại Từ (04/6/2021),112,TT GDNN-GDTX Huyện Đại Từ (Từ 04/6/2021),"Xã Tiên Hội, H. Đại Từ",KV1,
1561,12,Thái Nguyên,11,Huyện Đại Từ (04/6/2021),120,THPT Đội Cấn,"Xã Hà Thượng, Huyện Đại Từ, Tỉnh Thái Nguyên",KV1,
1562,12,Thái Nguyên,12,Thành phố Sông Công (Từ 04/6/2021),113,THPT Sông Công (Từ 04/6/2021),"Phường Thắng Lợi, TP. Sông Công",KV2,
1563,12,Thái Nguyên,12,Thành phố Sông Công (Từ 04/6/2021),115,TT GDNN-GDTX TP Sông Công (Từ 04/6/2021),"Phường Cải Đan, TP. Sông Công",KV2,
1564,12,Thái Nguyên,12,Thành phố Sông Công (Từ 04/6/2021),116,THPT Lương Thế Vinh (Từ 04/6/2022),"Phường Cải Đan, TP. Sông Công",KV2,
1565,12,Thái Nguyên,12,Thành phố Sông Công (Từ 04/6/2021),117,Trường Văn hoá (Từ 04/6/2021),"Phường Lương Sơn, TP. Sông Công",KV2,DTNT
1566,13,Yên Bái,00,Sở Giáo dục và Đào tạo,800,Học ở nước ngoài_13,,KV3,
1567,13,Yên Bái,00,Sở Giáo dục và Đào tạo,900,"Quân nhân, Công an tại ngũ_13",,KV3,
1568,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),001,THPT Chuyên Nguyễn Tất Thành (Trước ngày 4/6/2021),P. Yên Thịnh - TP Yên Bái,KV1,
1569,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),002,THPT Nguyễn Huệ (Trước ngày 4/6/2021),P. Đồng Tâm - TP Yên Bái,KV1,
1570,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),003,THPT Lý Thường Kiệt (Trước ngày 4/6/2021),P. Hồng Hà - TP Yên Bái,KV1,
1571,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),004,PT Dân tộc nội trú THPT Tỉnh Yên Bái (Trước ngày 4/6/2021),"Tổ 8, P. Yên Thịnh - TP Yên Bái",KV1,DTNT
1572,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),005,THPT Hoàng Quốc Việt (Trước ngày 4/6/2021),Xã Giới Phiên - TP Yên Bái,KV1,
1573,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),006,THPT Đồng Tâm,P.Đồng Tâm -TP Yên Bái,KV1,
1574,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),007,TT GDTX Tỉnh (Trước ngày 4/6/2021),P. Đồng Tâm - TP Yên Bái,KV1,
1575,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),008,TT DN-GDTX TP Yên Bái,P.Nguyễn Phúc - TP Yên Bái,KV1,
1576,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),009,Trung cấp Kinh tế - Kỹ thuật Yên Bái,P. Yên Thịnh -TP Yên Bái,KV1,
1577,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),040,Cao đẳng Y tế Yên Bái,Phường Yên Ninh - TP Yên Bái,KV1,
1578,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),041,TT GDNN-GDTX TP Yên Bái,P.Nguyễn Phúc - TP Yên Bái - Yên Bái,KV1,
1579,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),050,Bán công Phan Bội Châu,Phường Đồng Tâm - TP Yên Bái,KV1,
1580,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),051,THPT BC Phan Chu Trinh,Phường Nguyễn Phúc - TP Yên Bái,KV1,
1581,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),801,Trường THPT - Khu vực 1,,KV1,
1582,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),802,Trường THPT - KV2NT,,KV2-NT,
1583,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),803,Trường THPT - KV2,,KV2,
1584,13,Yên Bái,01,Thành phố Yên Bái (trước 4/6/2021),804,Trường THPT - Khu vực 3,,KV3,
1585,13,Yên Bái,02,Thị xã Nghĩa Lộ,010,THPT Nghĩa Lộ,P. Tân An -TX Nghĩa Lộ - Yên Bái,KV1,
1586,13,Yên Bái,02,Thị xã Nghĩa Lộ,011,THPT Nguyễn Trãi,P. Pú Trạng -TX Nghĩa Lộ - Yên Bái,KV1,
1587,13,Yên Bái,02,Thị xã Nghĩa Lộ,012,PT DTNT THPT Miền Tây,P. Pú Trạng -TX Nghĩa Lộ - Yên Bái,KV1,DTNT
1588,13,Yên Bái,02,Thị xã Nghĩa Lộ,013,TT GDTX-HNDN Tx Nghĩa Lộ,P. Pú Trạng-TX Nghĩa Lộ - Yên Bái,KV1,
1589,13,Yên Bái,02,Thị xã Nghĩa Lộ,037,Trung cấp Nghề DTNT Nghĩa Lộ,P. Pú Trạng - TX Nghĩa Lộ - Yên Bái,KV1,
1590,13,Yên Bái,02,Thị xã Nghĩa Lộ,048,Trung cấp DTNT Nghĩa Lộ,P. Pú Trạng - TX Nghĩa Lộ - Yên Bái,KV1,
1591,13,Yên Bái,03,Huyện Văn Yên,014,THPT Chu Văn An (trước 4/6/2021),TT. Mậu A - Văn Yên - Yên Bái,KV1,
1592,13,Yên Bái,03,Huyện Văn Yên,015,THPT Nguyễn Lương Bằng,Xã An Thịnh - Văn Yên - Yên Bái,KV1,
1593,13,Yên Bái,03,Huyện Văn Yên,016,THPT Trần Phú,Xã An Bình - Văn Yên - Yên Bái,KV1,
1594,13,Yên Bái,03,Huyện Văn Yên,017,TT DN-GDTX Huyện Văn Yên,TT. Mậu A - Văn Yên - Yên Bái,KV1,
1595,13,Yên Bái,03,Huyện Văn Yên,045,TT GDNN-GDTX Huyện Văn Yên (trước 4/6/2021),TT. Mậu A - Văn Yên - Yên Bái,KV1,
1596,13,Yên Bái,03,Huyện Văn Yên,053,THPT BC Nguyễn Khuyến,TT. Mậu A - Văn Yên - Yên Bái,KV1,
1597,13,Yên Bái,03,Huyện Văn Yên,070,THPT Chu Văn An (từ 4/6/2021),"Thị trấn Mậu A, huyện Văn Yên, tỉnh Yên Bái",KV2-NT,
1598,13,Yên Bái,03,Huyện Văn Yên,071,TT GDNN-GDTX huyện Văn Yên (từ 4/6/2021),"Thị trấn Mậu A, huyện Văn Yên, tỉnh Yên Bái",KV2-NT,
1599,13,Yên Bái,04,Huyện Yên Bình,018,THPT Cảm Ân,Xã Cảm Ân - Yên Bình - Yên Bái,KV1,
1600,13,Yên Bái,04,Huyện Yên Bình,019,THPT Trần Nhật Duật (trước 4/6/2021),TT. Yên Bình - Yên Bình - Yên Bái,KV1,
1601,13,Yên Bái,04,Huyện Yên Bình,020,THPT Thác Bà (trước 4/6/2021),TT. Thác Bà - Yên Bình - Yên Bái,KV1,
1602,13,Yên Bái,04,Huyện Yên Bình,021,THPT Cảm Nhân,Xã Cảm Nhân - Yên Bình - Yên Bái,KV1,
1603,13,Yên Bái,04,Huyện Yên Bình,022,TT DN-GDTX Huyện Yên Bình,TT. Yên Bình - Yên Bình - Yên Bái,KV1,
1604,13,Yên Bái,04,Huyện Yên Bình,042,TT GDNN-GDTX Huyện Yên Bình (trước 4/6/2021),TT. Yên Bình - Yên Bình - Yên Bái,KV1,
1605,13,Yên Bái,04,Huyện Yên Bình,072,THPT Trần Nhật Duật (từ 4/6/2021),"Thị trấn Yên Bình, huyện Yên Bình, tỉnh Yên Bái",KV2-NT,
1606,13,Yên Bái,04,Huyện Yên Bình,073,THPT Thác Bà (từ 4/6/2021),"Thị trấn Thác Bà, huyện Yên Bình, tỉnh Yên Bái",KV2-NT,
1607,13,Yên Bái,04,Huyện Yên Bình,074,TT GDNN-GDTX huyện Yên Bình (từ 4/6/2021),"Thị trấn Yên Bình, huyện Yên Bình, tỉnh Yên Bái",KV2-NT,
1608,13,Yên Bái,05,Huyện Mù Cang Chải,023,THPT Mù Cang Chải,TT. Mù Cang Chải - Mù Cang Chải - Yên Bái,KV1,
1609,13,Yên Bái,05,Huyện Mù Cang Chải,024,TT DN-GDTX H. Mù Cang Chải,TT. Mù Cang Chải - Mù Cang Chải - Yên Bái,KV1,
1610,13,Yên Bái,05,Huyện Mù Cang Chải,047,TT GDNN-GDTX Huyện Mù Cang Chải,TT. Mù Cang Chải - Huyện Mù Cang Chải - Yên Bái,KV1,
1611,13,Yên Bái,05,Huyện Mù Cang Chải,055,THCS&THPT Púng Luông,"Xã Púng Luông, Mù Cang Chải, Yên Bái",KV1,
1612,13,Yên Bái,06,Huyện Văn Chấn,025,THPT Văn Chấn,Xã Cát Thịnh - Văn Chấn - Yên Bái,KV1,
1613,13,Yên Bái,06,Huyện Văn Chấn,026,THPT Sơn Thịnh,Xã Sơn Thịnh - Văn Chấn - Yên Bái,KV1,
1614,13,Yên Bái,06,Huyện Văn Chấn,027,TT DN-GDTX Huyện Văn Chấn,Xã Sơn Thịnh - Văn Chấn - Yên Bái,KV1,
1615,13,Yên Bái,06,Huyện Văn Chấn,044,TT GDNN-GDTX Huyện Văn Chấn,Xã Sơn Thịnh - Văn Chấn - Yên Bái,KV1,
1616,13,Yên Bái,06,Huyện Văn Chấn,054,THCS&THPT Nậm Búng,"Xã Nậm Búng, Văn Chấn, Yên Bái",KV1,
1617,13,Yên Bái,06,Huyện Văn Chấn,056,THCS&THPT Nghĩa Tâm,Xã Nghĩa Tâm,KV1,
1618,13,Yên Bái,07,Huyện Trấn Yên,028,THPT Lê Quý Đôn (trước 4/6/2021),TT. Cổ Phúc - Trấn Yên - Yên Bái,KV1,
1619,13,Yên Bái,07,Huyện Trấn Yên,029,PT Liên cấp 2+3 Trấn Yên II,Xã Hưng Khánh - Trấn Yên - Yên Bái,KV1,
1620,13,Yên Bái,07,Huyện Trấn Yên,030,TT DN-GDTX Huyện Trấn Yên,TT. Cổ Phúc -Trấn Yên - Yên Bái,KV1,
1621,13,Yên Bái,07,Huyện Trấn Yên,039,THPT Hưng Khánh,Xã Hưng Khánh - Trấn Yên - Yên Bái,KV1,
1622,13,Yên Bái,07,Huyện Trấn Yên,043,TT GDNN-GDTX Huyện Trấn Yên (trước 4/6/2021),TT. Cổ Phúc -Trấn Yên - Yên Bái,KV1,
1623,13,Yên Bái,07,Huyện Trấn Yên,052,THPT BC Nguyễn Du,Thị trấn Cổ Phúc - Trấn Yên - Yên Bái,KV1,
1624,13,Yên Bái,07,Huyện Trấn Yên,075,THPT Lê Quý Đôn (Từ 4/6/2021),"Thị trấn Cổ Phúc, huyện Trấn Yên, tỉnh Yên Bái",KV2-NT,
1625,13,Yên Bái,07,Huyện Trấn Yên,076,TT GDNN-GDTX huyện Trấn Yên (từ 4/6/2021),"Thị trấn Cổ Phúc, huyện Trấn Yên, tỉnh Yên Bái",KV2-NT,
1626,13,Yên Bái,08,Huyện Trạm Tấu,031,THPT Trạm Tấu,TT. Trạm Tấu - Trạm Tấu - Yên Bái,KV1,
1627,13,Yên Bái,08,Huyện Trạm Tấu,032,TT DN-GDTX Huyện Trạm Tấu,TT. Trạm Tấu - Trạm Tấu - Yên Bái,KV1,
1628,13,Yên Bái,08,Huyện Trạm Tấu,046,TT GDNN-GDTX Huyện Trạm Tấu,TT. Trạm Tấu - Trạm Tấu - Yên Bái,KV1,
1629,13,Yên Bái,09,Huyện Lục Yên,033,THPT Mai Sơn,Xã Mai Sơn - Lục Yên - Yên Bái,KV1,
1630,13,Yên Bái,09,Huyện Lục Yên,034,THPT Hoàng Văn Thụ,TT. Yên Thế - Lục Yên - Yên Bái,KV1,
1631,13,Yên Bái,09,Huyện Lục Yên,035,THPT Hồng Quang,Xã Động Quan - Lục Yên - Yên Bái,KV1,
1632,13,Yên Bái,09,Huyện Lục Yên,036,TT GDTX-HNDN Hồ Tùng Mậu,TT. Yên Thế - Lục Yên - Yên Bái,KV1,
1633,13,Yên Bái,09,Huyện Lục Yên,038,Trung cấp Nghề Lục Yên,TT. Yên Thế - Lục Yên - Yên Bái,KV1,
1634,13,Yên Bái,09,Huyện Lục Yên,049,Trung cấp Lục Yên,TT Yên Thế - Lục Yên - Yên Bái,KV1,
1635,13,Yên Bái,10,Thành phố Yên Bái (Từ 4/6/2021),057,THPT Chuyên Nguyễn Tất Thành (Từ ngày 4/6/2021),P. Yên Thịnh - TP Yên Bái,KV2,
1636,13,Yên Bái,10,Thành phố Yên Bái (Từ 4/6/2021),058,THPT Nguyễn Huệ (Từ ngày 4/6/2021),P. Đồng Tâm - TP Yên Bái,KV2,
1637,13,Yên Bái,10,Thành phố Yên Bái (Từ 4/6/2021),059,THPT Lý Thường Kiệt (Từ ngày 4/6/2021),P. Hồng Hà - TP Yên Bái,KV2,
1638,13,Yên Bái,10,Thành phố Yên Bái (Từ 4/6/2021),060,PT Dân tộc nội trú THPT Tỉnh Yên Bái (Từ ngày 4/6/2021),"Tổ 8, P. Yên Thịnh - TP Yên Bái",KV2,DTNT
1639,13,Yên Bái,10,Thành phố Yên Bái (Từ 4/6/2021),061,THPT Hoàng Quốc Việt (Từ ngày 4/6/2021),Xã Giới Phiên - TP Yên Bái,KV2,
1640,13,Yên Bái,10,Thành phố Yên Bái (Từ 4/6/2021),062,TT GDTX Tỉnh (Từ ngày 4/6/2021),P. Đồng Tâm - TP Yên Bái,KV2,
1641,14,Sơn La,00,Sở Giáo dục và Đào tạo,800,Học ở nước ngoài_14,"106 Đường Thanh Niên, Tổ 3 Phường Tô Hiệu, Thành phố Sơn La, tỉnh Sơn La",KV3,
1642,14,Sơn La,00,Sở Giáo dục và Đào tạo,900,"Quân nhân, Công an tại ngũ_14","Số 106, Đường Thanh Niên, thành phố Sơn La, tỉnh Sơn La",KV3,
1643,14,Sơn La,01,Thành phố Sơn La,001,Trung tâm GDNN - GDTX Thành phố Sơn La,"Tổ 3, Phường Tô Hiệu, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1644,14,Sơn La,01,Thành phố Sơn La,002,Trường THPT Tô Hiệu,"Tổ 3, Phường Tô Hiệu, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1645,14,Sơn La,01,Thành phố Sơn La,003,Trường THPT Chiềng Sinh,"Tổ 3, Phường Chiềng Sinh, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1646,14,Sơn La,01,Thành phố Sơn La,004,Trường THPT Chuyên,"Tổ 3, Phường Chiềng Sinh, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1647,14,Sơn La,01,Thành phố Sơn La,005,Trường PTDT Nội trú tỉnh,"Bản Ca Láp, Xã Chiềng Ngần, Thành phố Sơn La, Tỉnh Sơn La",KV1,DTNT
1648,14,Sơn La,01,Thành phố Sơn La,006,Trường THPT Nguyễn Du,"Bản Phiêng Tam, Xã Chiềng Đen, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1649,14,Sơn La,01,Thành phố Sơn La,043,Phòng GD -ĐT Thành phố Sơn La,"Phường Chiềng Lề, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1650,14,Sơn La,01,Thành phố Sơn La,056,"Trường TH, THCS & THPT Chu Văn An (Trước ngày 04/6/2021)","Tổ 2, Phường Quyết Tâm, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1651,14,Sơn La,01,Thành phố Sơn La,057,Trung tâm GDTX Thành phố Sơn La,"Tổ 3, Phường Tô Hiệu, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1652,14,Sơn La,01,Thành phố Sơn La,072,Trường Đại học Tây Bắc,"Tổ 2, Phường Quyết tâm, Thành phố Sơn La",KV1,
1653,14,Sơn La,01,Thành phố Sơn La,074,Trường THCS-THPT Nguyễn Du,"Bản Phiêng Tam, Xã Chiềng Đen, Thành phố Sơn La, Tỉnh Sơn La",KV1,
1654,14,Sơn La,01,Thành phố Sơn La,086,Trung tâm GDTX tỉnh,Phường Tô Hiệu,KV1,
1655,14,Sơn La,01,Thành phố Sơn La,100,"Trường TH, THCS&THPT Chu Văn An","Phường Quyết Tâm, TP. Sơn La",KV2,
1656,14,Sơn La,01,Thành phố Sơn La,102,"Trường TH, THCS&THPT Quốc tế Bình Minh","Tổ 1, phường Chiềng Cơi, TP. Sơn La, tỉnh Sơn La",KV1,
1657,14,Sơn La,01,Thành phố Sơn La,801,Trường THPT - Khu vực 1,,KV1,
1658,14,Sơn La,01,Thành phố Sơn La,802,Trường THPT - KV2NT,,KV2-NT,
1659,14,Sơn La,01,Thành phố Sơn La,803,Trường THPT - KV2,,KV2,
1660,14,Sơn La,01,Thành phố Sơn La,804,Trường THPT - Khu vực 3,,KV3,
1661,14,Sơn La,02,Huyện Quỳnh Nhai,007,Trường THPT Quỳnh Nhai,"Bản Phiêng Nèn, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La",KV1,
1662,14,Sơn La,02,Huyện Quỳnh Nhai,008,Trường THPT Mường Giôn,"Bản Chiềng Lề, Xã Mường Giôn, Huyện Quỳnh Nhai, Tỉnh Sơn La",KV1,
1663,14,Sơn La,02,Huyện Quỳnh Nhai,009,Trung tâm GDNN- GDTX huyện Quỳnh Nhai,"Bản Phiêng Nèn, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La",KV1,
1664,14,Sơn La,02,Huyện Quỳnh Nhai,044,Phòng GD -ĐT huyện Quỳnh Nhai,"Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La",KV1,
1665,14,Sơn La,02,Huyện Quỳnh Nhai,058,Trung tâm GDTX huyện Quỳnh Nhai,"Bản Phiêng Nèn, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La",KV1,
1666,14,Sơn La,02,Huyện Quỳnh Nhai,076,Trường PTDTNT THCS-THPT huyện Quỳnh Nhai,Bản Phiêng Nèn - Xã Mường Giàng - Huyện Quỳnh Nhai - Tỉnh Sơn La,KV1,DTNT
1667,14,Sơn La,02,Huyện Quỳnh Nhai,087,Trung tâm GDTX Quỳnh Nhai,"Bản Phiêng Nèn, Xã Mường Giàng, Huyện Quỳnh Nhai, Tỉnh Sơn La",KV1,
1668,14,Sơn La,03,Huyện Mường La,010,Trường THPT Mường La,"Tiểu khu 5, Thị Trấn Ít Ong, Huyện Mường La, Tỉnh Sơn La",KV1,
1669,14,Sơn La,03,Huyện Mường La,011,Trường THPT Mường Bú,"Bản Văn Minh, Xã Mường Bú, Huyện Mường La, Tỉnh Sơn La",KV1,
1670,14,Sơn La,03,Huyện Mường La,012,Trung tâm GDNN- GDTX huyện Mường La,"Thị Trấn Ít Ong, Huyện Mường La, Tỉnh Sơn La",KV1,
1671,14,Sơn La,03,Huyện Mường La,045,Phòng GD -ĐT huyện Mường La,"Thị Trấn Ít Ong, Huyện Mường La, Tỉnh Sơn La",KV1,
1672,14,Sơn La,03,Huyện Mường La,059,Trung tâm GDTX huyện Mường La,"Bản Nong Heo, Thị Trấn Ít Ong, Huyện Mường La, Tỉnh Sơn La",KV1,
1673,14,Sơn La,03,Huyện Mường La,077,Trường PTDTNT THCS-THPT huyện Mường La,Thị trấn Ít Ong - Huyện Mường La - Tỉnh sơn La,KV1,DTNT
1674,14,Sơn La,03,Huyện Mường La,088,Trung tâm GDTX Mường La,"Thị Trấn Ít Ong, Huyện Mường La, Tỉnh Sơn La",KV1,
1675,14,Sơn La,04,Huyện Thuận Châu,013,Trường THPT Thuận Châu,"Tiểu khu 1, Thị Trấn Thuận Châu, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1676,14,Sơn La,04,Huyện Thuận Châu,014,Trường THPT Tông Lệnh,"Tiểu khu 3, Xã Tông Lạnh, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1677,14,Sơn La,04,Huyện Thuận Châu,015,Trung tâm GDNN- GDTX huyện Thuận Châu,"Bản Máy Đường, Xã Chiềng Pấc, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1678,14,Sơn La,04,Huyện Thuận Châu,016,Trường THPT Bình Thuận,"Bản Kiến Xương, Xã Phỏng Lái, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1679,14,Sơn La,04,Huyện Thuận Châu,017,Trường THPT Co Mạ,"Bản Pa Khuông, Xã Co Mạ, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1680,14,Sơn La,04,Huyện Thuận Châu,046,Phòng GD -ĐT huyện Thuận Châu,"Thị Trấn Thuận Châu, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1681,14,Sơn La,04,Huyện Thuận Châu,060,Trung tâm GDTX- HD&DN huyện Thuận Châu,"Thị Trấn Thuận Châu, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1682,14,Sơn La,04,Huyện Thuận Châu,068,Trung tâm GDTX huyện Thuận Châu,"Thị Trấn Thuận Châu, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1683,14,Sơn La,04,Huyện Thuận Châu,078,Trường PTDTNT THCS-THPT huyện Thuận Châu,TK I Thị Trấn Thuận Châu huyện Thuận Châu tỉnh Sơn La,KV1,DTNT
1684,14,Sơn La,04,Huyện Thuận Châu,089,Trung tâm GDTX Thuận Châu,"Bản Máy Đường, Xã Chiềng Pấc, Huyện Thuận Châu, Tỉnh Sơn La",KV1,
1685,14,Sơn La,05,Huyện Bắc Yên,018,Trường THPT Bắc Yên,"Bản Phiêng Ban 3, Thị Trấn Bắc Yên, Huyện Bắc Yên, Tỉnh Sơn La",KV1,
1686,14,Sơn La,05,Huyện Bắc Yên,019,Trung tâm GDNN- GDTX huyện Bắc Yên,"Bản Phiêng Ban 1, Thị Trấn Bắc Yên, Huyện Bắc Yên, Tỉnh Sơn La",KV1,
1687,14,Sơn La,05,Huyện Bắc Yên,047,Phòng GD -ĐT huyện Bắc Yên,"Thị Trấn Bắc Yên, Huyện Bắc Yên, Tỉnh Sơn La",KV1,
1688,14,Sơn La,05,Huyện Bắc Yên,061,Trung tâm GDTX huyện Bắc Yên,"Bản Phiêng Ban 1, Thị Trấn Bắc Yên, Huyện Bắc Yên, Tỉnh Sơn La",KV1,
1689,14,Sơn La,05,Huyện Bắc Yên,079,Trường PTDTNT THCS-THPT huyện Bắc Yên,PHIÊNG BAN I- THỊ TRẤN BẮC YÊN - BẮC YÊN- SƠN LA,KV1,DTNT
1690,14,Sơn La,05,Huyện Bắc Yên,090,Trung tâm GDTX Bắc Yên,"Bản Phiêng Ban 1, Thị Trấn Bắc Yên, Huyện Bắc Yên, Tỉnh Sơn La",KV1,
